"nom.size","an","T","N","mis.class","omega"
0.07,0.05,2,100,0.5,0.153968054174752
0.05,0.1,2,100,0.5,0.221132015814711
0.04,0.15,2,100,0.5,0.29537448325438
0.04,0.2,2,100,0.5,0.5
0.04,0.3,2,100,0.5,0.153968054174752
0.04,0.4,2,100,0.5,0.221132015814711
0.09,0.05,2,100,0.5,0.29537448325438
0.08,0.1,2,100,0.5,0.5
0.07,0.15,2,100,0.5,0.153968054174752
0.06,0.2,2,100,0.5,0.221132015814711
0.04,0.3,2,100,0.5,0.29537448325438
0.03,0.4,2,100,0.5,0.5
0.03,0.05,2,100,0.5,0.153968054174752
0.02,0.1,2,100,0.5,0.221132015814711
0.02,0.15,2,100,0.5,0.29537448325438
0.02,0.2,2,100,0.5,0.5
0,0.3,2,100,0.5,0.153968054174752
0,0.4,2,100,0.5,0.221132015814711
0.04,0.05,2,100,0.5,0.29537448325438
0.03,0.1,2,100,0.5,0.5
0.02,0.15,2,100,0.5,0.153968054174752
0.02,0.2,2,100,0.5,0.221132015814711
0.02,0.3,2,100,0.5,0.29537448325438
0.02,0.4,2,100,0.5,0.5
0.04,0.05,5,100,0.5,0.153968054174752
0.03,0.1,5,100,0.5,0.221132015814711
0.02,0.15,5,100,0.5,0.29537448325438
0.02,0.2,5,100,0.5,0.5
0.02,0.3,5,100,0.5,0.153968054174752
0.02,0.4,5,100,0.5,0.221132015814711
0.08,0.05,5,100,0.5,0.29537448325438
0.06,0.1,5,100,0.5,0.5
0.05,0.15,5,100,0.5,0.153968054174752
0.05,0.2,5,100,0.5,0.221132015814711
0.04,0.3,5,100,0.5,0.29537448325438
0.03,0.4,5,100,0.5,0.5
0.02,0.05,5,100,0.5,0.153968054174752
0.02,0.1,5,100,0.5,0.221132015814711
0.01,0.15,5,100,0.5,0.29537448325438
0.01,0.2,5,100,0.5,0.5
0.01,0.3,5,100,0.5,0.153968054174752
0.01,0.4,5,100,0.5,0.221132015814711
0.06,0.05,5,100,0.5,0.29537448325438
0.06,0.1,5,100,0.5,0.5
0.06,0.15,5,100,0.5,0.153968054174752
0.05,0.2,5,100,0.5,0.221132015814711
0.05,0.3,5,100,0.5,0.29537448325438
0.04,0.4,5,100,0.5,0.5
0.03,0.05,10,100,0.5,0.153968054174752
0.03,0.1,10,100,0.5,0.153968054174752
0.03,0.15,10,100,0.5,0.153968054174752
0.03,0.2,10,100,0.5,0.153968054174752
0.03,0.3,10,100,0.5,0.153968054174752
0.03,0.4,10,100,0.5,0.153968054174752
0.03,0.05,10,100,0.5,0.153968054174752
0.02,0.1,10,100,0.5,0.153968054174752
0.02,0.15,10,100,0.5,0.153968054174752
0.02,0.2,10,100,0.5,0.153968054174752
0.02,0.3,10,100,0.5,0.153968054174752
0.01,0.4,10,100,0.5,0.153968054174752
0.03,0.05,10,100,0.5,0.153968054174752
0.03,0.1,10,100,0.5,0.153968054174752
0.03,0.15,10,100,0.5,0.153968054174752
0.03,0.2,10,100,0.5,0.153968054174752
0.03,0.3,10,100,0.5,0.153968054174752
0.03,0.4,10,100,0.5,0.153968054174752
0.03,0.05,10,100,0.5,0.153968054174752
0.03,0.1,10,100,0.5,0.153968054174752
0.03,0.15,10,100,0.5,0.153968054174752
0.03,0.2,10,100,0.5,0.153968054174752
0.03,0.3,10,100,0.5,0.153968054174752
0.03,0.4,10,100,0.5,0.153968054174752
0.02,0.05,2,500,0.5,0.153968054174752
0.02,0.1,2,500,0.5,0.153968054174752
0.02,0.15,2,500,0.5,0.153968054174752
0.02,0.2,2,500,0.5,0.153968054174752
0.02,0.3,2,500,0.5,0.153968054174752
0.02,0.4,2,500,0.5,0.153968054174752
0.08,0.05,2,500,0.5,0.153968054174752
0.08,0.1,2,500,0.5,0.153968054174752
0.08,0.15,2,500,0.5,0.153968054174752
0.06,0.2,2,500,0.5,0.153968054174752
0.05,0.3,2,500,0.5,0.153968054174752
0.05,0.4,2,500,0.5,0.153968054174752
0.03,0.05,2,500,0.5,0.153968054174752
0.02,0.1,2,500,0.5,0.153968054174752
0.02,0.15,2,500,0.5,0.153968054174752
0.02,0.2,2,500,0.5,0.153968054174752
0.02,0.3,2,500,0.5,0.153968054174752
0.02,0.4,2,500,0.5,0.153968054174752
0.04,0.05,2,500,0.5,0.153968054174752
0.03,0.1,2,500,0.5,0.153968054174752
0.03,0.15,2,500,0.5,0.153968054174752
0.03,0.2,2,500,0.5,0.153968054174752
0.03,0.3,2,500,0.5,0.153968054174752
0.03,0.4,2,500,0.5,0.153968054174752
0.06,0.05,5,500,0.5,0.153968054174752
0.06,0.1,5,500,0.5,0.153968054174752
0.06,0.15,5,500,0.5,0.153968054174752
0.06,0.2,5,500,0.5,0.153968054174752
0.06,0.3,5,500,0.5,0.153968054174752
0.06,0.4,5,500,0.5,0.153968054174752
0.05,0.05,5,500,0.5,0.153968054174752
0.05,0.1,5,500,0.5,0.153968054174752
0.05,0.15,5,500,0.5,0.153968054174752
0.05,0.2,5,500,0.5,0.153968054174752
0.05,0.3,5,500,0.5,0.153968054174752
0.05,0.4,5,500,0.5,0.153968054174752
0.05,0.05,5,500,0.5,0.153968054174752
0.05,0.1,5,500,0.5,0.153968054174752
0.05,0.15,5,500,0.5,0.153968054174752
0.05,0.2,5,500,0.5,0.153968054174752
0.05,0.3,5,500,0.5,0.153968054174752
0.05,0.4,5,500,0.5,0.153968054174752
0.04,0.05,5,500,0.5,0.153968054174752
0.04,0.1,5,500,0.5,0.153968054174752
0.04,0.15,5,500,0.5,0.153968054174752
0.04,0.2,5,500,0.5,0.153968054174752
0.04,0.3,5,500,0.5,0.153968054174752
0.04,0.4,5,500,0.5,0.153968054174752
0.08,0.05,10,500,0.5,0.153968054174752
0.08,0.1,10,500,0.5,0.153968054174752
0.08,0.15,10,500,0.5,0.153968054174752
0.08,0.2,10,500,0.5,0.153968054174752
0.08,0.3,10,500,0.5,0.153968054174752
0.08,0.4,10,500,0.5,0.153968054174752
0.04,0.05,10,500,0.5,0.153968054174752
0.04,0.1,10,500,0.5,0.153968054174752
0.04,0.15,10,500,0.5,0.153968054174752
0.04,0.2,10,500,0.5,0.153968054174752
0.04,0.3,10,500,0.5,0.153968054174752
0.04,0.4,10,500,0.5,0.153968054174752
0.08,0.05,10,500,0.5,0.153968054174752
0.08,0.1,10,500,0.5,0.153968054174752
0.08,0.15,10,500,0.5,0.153968054174752
0.08,0.2,10,500,0.5,0.153968054174752
0.08,0.3,10,500,0.5,0.153968054174752
0.08,0.4,10,500,0.5,0.153968054174752
0.05,0.05,10,500,0.5,0.153968054174752
0.05,0.1,10,500,0.5,0.153968054174752
0.05,0.15,10,500,0.5,0.153968054174752
0.05,0.2,10,500,0.5,0.153968054174752
0.05,0.3,10,500,0.5,0.153968054174752
0.05,0.4,10,500,0.5,0.153968054174752
