nom.size,an,N,T,omega
0.053333333,0.05,100,2,0.066807201
0.036666667,0.1,100,2,0.066807201
0.03,0.15,100,2,0.066807201
0.026666667,0.3,100,2,0.066807201
0.026666667,0.4,100,2,0.066807201
0.066666667,0.05,100,2,0.04269554
0.063333333,0.1,100,2,0.04269554
0.056666667,0.15,100,2,0.04269554
0.043333333,0.3,100,2,0.04269554
0.043333333,0.4,100,2,0.04269554
0.06,0.05,100,2,0.022750132
0.056666667,0.1,100,2,0.022750132
0.05,0.15,100,2,0.022750132
0.04,0.3,100,2,0.022750132
0.033333333,0.4,100,2,0.022750132
0.08,0.05,100,2,0.01100542
0.073333333,0.1,100,2,0.01100542
0.063333333,0.15,100,2,0.01100542
0.053333333,0.3,100,2,0.01100542
0.036666667,0.4,100,2,0.01100542
0.066666667,0.05,100,2,0.022750132
0.06,0.1,100,2,0.022750132
0.053333333,0.15,100,2,0.022750132
0.043333333,0.3,100,2,0.022750132
0.036666667,0.4,100,2,0.022750132
0.1,0.05,100,2,0.00067233
0.09,0.1,100,2,0.00067233
0.076666667,0.15,100,2,0.00067233
0.056666667,0.3,100,2,0.00067233
0.05,0.4,100,2,0.00067233
0.066666667,0.05,100,2,0.006209665
0.053333333,0.1,100,2,0.006209665
0.05,0.15,100,2,0.006209665
0.043333333,0.3,100,2,0.006209665
0.03,0.4,100,2,0.006209665
0.086666667,0.05,100,2,0.002113402
0.076666667,0.1,100,2,0.002113402
0.066666667,0.15,100,2,0.002113402
0.046666667,0.3,100,2,0.002113402
0.036666667,0.4,100,2,0.002113402
0.04,0.05,100,2,0.006209665
0.033333333,0.1,100,2,0.006209665
0.03,0.15,100,2,0.006209665
0.023333333,0.3,100,2,0.006209665
0.016666667,0.4,100,2,0.006209665
0.076666667,0.05,100,2,0.002113402
0.066666667,0.1,100,2,0.002113402
0.063333333,0.15,100,2,0.002113402
0.053333333,0.3,100,2,0.002113402
0.04,0.4,100,2,0.002113402
0.04,0.05,100,2,0.001349898
0.036666667,0.1,100,2,0.001349898
0.03,0.15,100,2,0.001349898
0.023333333,0.3,100,2,0.001349898
0.016666667,0.4,100,2,0.001349898
0.08,0.05,100,2,0.000300067
0.07,0.1,100,2,0.000300067
0.063333333,0.15,100,2,0.000300067
0.06,0.3,100,2,0.000300067
0.046666667,0.4,100,2,0.000300067
0.03,0.05,100,10,0.066807201
0.03,0.1,100,10,0.066807201
0.026666667,0.15,100,10,0.066807201
0.023333333,0.3,100,10,0.066807201
0.023333333,0.4,100,10,0.066807201
0.026666667,0.05,100,10,0.04269554
0.026666667,0.1,100,10,0.04269554
0.023333333,0.15,100,10,0.04269554
0.023333333,0.3,100,10,0.04269554
0.023333333,0.4,100,10,0.04269554
0.03,0.05,100,10,0.022750132
0.03,0.1,100,10,0.022750132
0.026666667,0.15,100,10,0.022750132
0.023333333,0.3,100,10,0.022750132
0.023333333,0.4,100,10,0.022750132
0.026666667,0.05,100,10,0.01100542
0.026666667,0.1,100,10,0.01100542
0.023333333,0.15,100,10,0.01100542
0.023333333,0.3,100,10,0.01100542
0.023333333,0.4,100,10,0.01100542
0.026666667,0.05,100,10,0.022750132
0.026666667,0.1,100,10,0.022750132
0.023333333,0.15,100,10,0.022750132
0.02,0.3,100,10,0.022750132
0.02,0.4,100,10,0.022750132
0.03,0.05,100,10,0.00067233
0.03,0.1,100,10,0.00067233
0.026666667,0.15,100,10,0.00067233
0.026666667,0.3,100,10,0.00067233
0.026666667,0.4,100,10,0.00067233
0.026666667,0.05,100,10,0.006209665
0.026666667,0.1,100,10,0.006209665
0.023333333,0.15,100,10,0.006209665
0.02,0.3,100,10,0.006209665
0.02,0.4,100,10,0.006209665
0.03,0.05,100,10,0.002113402
0.03,0.1,100,10,0.002113402
0.026666667,0.15,100,10,0.002113402
0.026666667,0.3,100,10,0.002113402
0.026666667,0.4,100,10,0.002113402
0.036666667,0.05,100,10,0.006209665
0.036666667,0.1,100,10,0.006209665
0.033333333,0.15,100,10,0.006209665
0.03,0.3,100,10,0.006209665
0.03,0.4,100,10,0.006209665
0.026666667,0.05,100,10,0.002113402
0.026666667,0.1,100,10,0.002113402
0.023333333,0.15,100,10,0.002113402
0.023333333,0.3,100,10,0.002113402
0.023333333,0.4,100,10,0.002113402
0.036666667,0.05,100,10,0.001349898
0.036666667,0.1,100,10,0.001349898
0.033333333,0.15,100,10,0.001349898
0.03,0.3,100,10,0.001349898
0.03,0.4,100,10,0.001349898
0.026666667,0.05,100,10,0.000300067
0.026666667,0.1,100,10,0.000300067
0.023333333,0.15,100,10,0.000300067
0.023333333,0.3,100,10,0.000300067
0.023333333,0.4,100,10,0.000300067
0.066666667,0.05,500,2,0.066807201
0.053333333,0.1,500,2,0.066807201
0.053333333,0.15,500,2,0.066807201
0.05,0.3,500,2,0.066807201
0.046666667,0.4,500,2,0.066807201
0.086666667,0.05,500,2,0.04269554
0.08,0.1,500,2,0.04269554
0.07,0.15,500,2,0.04269554
0.066666667,0.3,500,2,0.04269554
0.063333333,0.4,500,2,0.04269554
0.086666667,0.05,500,2,0.022750132
0.083333333,0.1,500,2,0.022750132
0.08,0.15,500,2,0.022750132
0.07,0.3,500,2,0.022750132
0.063333333,0.4,500,2,0.022750132
0.09,0.05,500,2,0.01100542
0.083333333,0.1,500,2,0.01100542
0.076666667,0.15,500,2,0.01100542
0.07,0.3,500,2,0.01100542
0.07,0.4,500,2,0.01100542
0.093333333,0.05,500,2,0.022750132
0.09,0.1,500,2,0.022750132
0.086666667,0.15,500,2,0.022750132
0.08,0.3,500,2,0.022750132
0.076666667,0.4,500,2,0.022750132
0.086666667,0.05,500,2,0.00067233
0.073333333,0.1,500,2,0.00067233
